,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
78, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1681,1944,2112,1605,2659,2395,2823,2957,3206,3267,3281,2697,1997
79, , , ,b,a, , , , , , ,a, , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1724,1931,2336,1971,2227,2545,3163,3547,3458,3419,3065,2803,1998
80, , ,i, , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1888,2129,2330,1764,2139,2870,2936,3068,3235,-9999,-9999,-9999,1999
81, , , , , ,b,a,h,h, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1799,2070,2031,1402,2472,2542,3150,3323,3611,-9999,-9999,2750,2000
82, , , , , ,g, , ,b, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1496,2046,2505,1909,1981,2640,3024,3180,3263,3179,2960,2571,2001
83, , , ,a,c, ,h,b,b, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1642,1720,1852,1649,2195,2735,3090,3240,3361,3252,3133,2664,2002
84, , ,b, , , ,a, ,h, ,h, , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1465,1845,2340,1701,-9999,2520,3005,3131,3206,3256,2996,2639,2003
85,c, , , , ,a, ,d,b, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1614,1414,2207,1625,2445,2589,2973,3140,3254,3156,2996,2797,2004
86, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1820,1922,2385,1973,2144,2571,2990,3258,3525,3492,3492,2746,2005
87, , , ,a, , , , , , , ,b, , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,2346,2112,2067,1825,2550,3072,3169,3417,3457,3414,3013,2611,2006
88, ,a, , , , , , ,c, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1583,1713,2200,1935,2440,2416,2981,3338,3354,3636,3154,2638,2007
89, , , , ,a,a, , , ,b, , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1489,1954,2092,1874,2285,2513,2928,3328,3332,3169,3062,2483,2008
90, , , , , , ,b, ,i, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1727,1846,2020,1513,2302,2510,2827,-9999,3295,3173,3065,2607,2009
91, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1389,1296,2248,1432,1985,2753,3065,-9999,-9999,3423,3347,2871,2010
92, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1486,1893,2246,1874,2504,2837,3093,3588,3414,3584,3032,2610,2011
93, , , , , , ,a, , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,2061,1921,2093,1945,2668,2738,3139,3185,3396,3228,3058,2624,2012
94,a,a, ,b,a, , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1986,1871,2064,1814,2057,2576,2871,3253,3177,3241,3214,2743,2013
95,c,a, , , , , ,e, , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1335,1810,1879,1952,2095,2629,-9999,3282,3269,3344,3181,2768,2014
